siren,division,dateCreationUniteLegale,annee,brevets,CIR,idEti
352905707,62,1989,2018,0.0,3506344.0,0
352948434,29,1989,2018,5.0,634695.0,1
358802296,25,1934,2018,2.0,114000.0,1
378168470,25,1990,2018,3.0,13390000.0,0
378297626,71,1990,2018,0.0,1677458.0,1
379821994,62,1990,2018,2.0,4120144.0,1
380344226,25,1990,2018,0.0,0.0,1
383144102,26,1991,2018,0.0,0.0,1
383474814,30,1991,2018,45.0,1000000.0,0
383871746,26,1991,2018,1.0,1587000.0,1
383903390,71,1992,2018,0.0,31326.0,0
384093563,20,1991,2018,4.0,1900000.0,1
384811253,29,1992,2018,1.0,130826.0,1
387949530,71,1992,2018,0.0,0.0,1
388056962,22,1992,2018,15.0,724167.0,1
388062796,22,1992,2018,1.0,140127.0,1
388866212,20,1992,2018,4.0,2120459.0,1
389470055,22,1992,2018,3.0,736355.0,1
393135298,62,1993,2018,0.0,0.0,1
394671820,29,1994,2018,0.0,1139880.0,1
399395581,26,1994,2018,45.0,23373000.0,0
401791959,71,1995,2018,5.0,1590270.0,1
402222483,21,1995,2018,3.0,808851.0,0
402261234,26,1995,2018,1.0,327000.0,1
402523088,26,1995,2018,2.0,202337.0,1
403119431,29,1995,2018,1.0,0.0,1
403180805,20,1995,2018,0.0,1827727.0,0
403256944,71,1995,2018,25.0,5600000.0,1
408484277,25,1996,2018,1.0,0.0,1
408720282,32,1996,2018,11.0,4808710.0,1
409722956,29,1996,2018,9.0,1073000.0,1
409768520,72,1996,2018,2.0,8701117.0,0
409886496,71,1996,2018,1.0,330034.0,1
410109698,71,1996,2018,1.0,0.0,1
410790448,71,1997,2018,0.0,0.0,1
411018781,71,1997,2018,1.0,30777.0,1
414448464,32,1997,2018,4.0,434943.0,1
414815217,30,1997,2018,510.0,48112000.0,0
414969584,26,1997,2018,73.0,15144000.0,0
415550284,20,1955,2018,3.0,0.0,1
415750660,20,1957,2018,2.0,808500.0,1
417350311,21,1984,2018,5.0,6487000.0,1
418397055,32,1998,2018,4.0,163729.0,1
420154809,71,1998,2018,0.0,117872.0,0
420611386,20,1998,2018,24.0,19316982.0,0
420797433,29,1998,2018,45.0,16649920.0,0
420851651,20,1998,2018,6.0,4427000.0,1
420916918,30,1998,2018,192.0,0.0,0
421131368,29,1998,2018,8.0,3060366.0,1
421454406,20,1998,2018,0.0,0.0,1
428121818,32,1999,2018,0.0,30000.0,1
428564710,26,1999,2018,0.0,407476.0,1
428610398,26,1999,2018,0.0,0.0,1
429526973,20,2000,2018,1.0,0.0,1
429853351,25,2000,2018,2.0,3753114.0,1
430006643,20,2000,2018,8.0,5522239.0,1
430036897,62,2000,2018,2.0,155975.0,0
432032712,20,2000,2018,0.0,615038.0,1
432937464,71,2000,2018,0.0,0.0,1
432938710,62,2000,2018,0.0,139655.0,0
433034782,26,2000,2018,1.0,333000.0,1
433938883,29,2000,2018,1.0,96823.0,1
434027249,26,2000,2018,0.0,2719149.0,1
435361209,72,2001,2018,3.0,1800000.0,1
437181076,25,1971,2018,0.0,476909.0,1
438834186,29,2001,2018,147.0,5009000.0,0
439436569,20,2001,2018,7.0,11196500.0,0
440278539,72,2001,2018,1.0,339615.0,1
440305282,26,2001,2018,52.0,14681000.0,0
440513059,72,2002,2018,23.0,6648000.0,0
441417110,21,2002,2018,3.0,1961712.0,0
441760238,20,2002,2018,1.0,0.0,1
441815198,22,2002,2018,0.0,0.0,1
442587523,71,2002,2018,0.0,0.0,1
442694436,29,2002,2018,11.0,3154000.0,1
442993283,20,2002,2018,0.0,0.0,1
443982038,29,2002,2018,3.0,3588288.0,1
